Baths,Beds,HOA,SQFT,cashflow,citystatezip,insurance,mortgage_pmt,price,price_estimate,rent,search_date,street,tax,total_pmt,year_built,zipcode
1,0,328,586,634.9000000000001,"Washington, DC 20009",24.416666666666668,796.1,199900.0,,1950.0,28,1863 Kalorama Rd NW Unit 1A ,166.58333333333334,1315.1,1903,20009
2,4,,1152,-55.433333333333394,"Falls Church, VA 22042",48.0,1990.85,499900.0,,2400.0,28,2918 Madison Pl ,416.5833333333333,2455.4333333333334,1945,22042
"2,5",2,200,1800,-886.3866666666663,"Washington, DC 20001",75.0,2986.47,749900.0,,3000.0,28,2419 1st St NW #1 ,624.9166666666666,3886.3866666666663,1905,20001
1,0,332,382,-41.53666666666663,"Washington, DC 20009",15.916666666666666,1111.12,279000.0,,1650.0,28,1816 New Hampshire Ave NW #201 ,232.5,1691.5366666666666,1965,20009
"4,5",5,,3602,-2329.51,"Falls Church, VA 22042",150.08333333333334,3580.26,899000.0,,2150.0,28,7121 Terry Ln ,749.1666666666666,4479.51,2018,22042
2,2,267,1144,-401.3166666666666,"Washington, DC 20001",47.666666666666664,2548.4,639900.0,,2995.0,28,1002 M St NW #1 ,533.25,3396.3166666666666,1912,20001
1,1,473,813,-725.9716666666664,"Washington, DC 20009",33.875,2289.93,575000.0,,2550.0,28,2125 14th St NW #701 ,479.1666666666667,3275.9716666666664,2007,20009
1,1,291,985,,"Falls Church, VA 22042",41.041666666666664,1194.35,299900.0,,,28,7815 Willow Point Dr #7815 ,249.91666666666666,1776.3083333333334,1985,22042
2,2,433,1475,-1144.2783333333327,"Washington, DC 20001",61.458333333333336,3679.82,924000.0,,3800.0,28,2131 10th St NW Ph -4 ,770.0,4944.278333333333,2004,20001
"3,5",7,,2800,,"Washington, DC 20009",116.66666666666667,7367.61,1850000.0,,,28,1101 S St NW ,1541.6666666666667,9025.943333333333,1880,20009
"3,5",4,,2962,-614.4099999999999,"Falls Church, VA 22042",123.41666666666667,2886.91,724900.0,,3000.0,28,6803 Farragut Ave ,604.0833333333334,3614.41,1943,22042
1,1,571,740,,"Washington, DC 20001",30.833333333333332,2528.88,635000.0,,,28,2030 8th St NW #202 ,529.1666666666666,3659.88,2014,20001
"4,5",5,,6420,-573.0900000000001,"Falls Church, VA 22042",160,5176.84,1299900.0,,5847.0,28,3127 Holmes Run Rd ,1083.25,6420.09,2005,22042
2,2,707,1175,-747.4350000000004,"Washington, DC 20001",48.958333333333336,2887.31,725000.0,,3500.0,28,475 K St NW #602 ,604.1666666666666,4247.435,2008,20001
1,2,236,851,82.5150000000001,"Falls Church, VA 22042",35.458333333333336,1113.11,279500.0,,1700.0,28,7750 New Providence Dr #34 ,232.91666666666666,1617.485,1984,22042
2,2,540,950,-791.106666666667,"Washington, DC 20001",39.583333333333336,2345.69,589000.0,,2625.0,28,1634 6th St NW #2 ,490.8333333333333,3416.106666666667,1900,20001
1,3,,1188,3.7733333333335395,"Falls Church, VA 22042",49.5,1692.56,425000.0,,2100.0,28,3114 Graydon St ,354.1666666666667,2096.2266666666665,1951,22042
1,2,428,750,-437.55999999999995,"Washington, DC 20001",31.25,2090.81,525000.0,,2550.0,28,475 K St NW #311 ,437.5,2987.56,2008,20001
"4,5",5,195,5933,,"Falls Church, VA 22042",160,4778.59,1199900.0,,,28,2992 Beechwood Ln ,999.9166666666666,6133.506666666667,2017,22042
